token,source_anchor,reason,guidance_status,frozen_source,note
2013,*,CITATION_OR_YEAR,IAAO_2013_ADOPTED,analysis/p1_inferential_reporting/tables/vei_significance.csv,"Year of the ADOPTED IAAO Standard on Ratio Studies. The only *_ADOPTED guidance in this paper."
2026,*,CITATION_OR_YEAR,IAAO_2026_ED2_PROPOSED,analysis/p1_inferential_reporting/provenance/ed2_source_manifest.json,"May-2026 Exposure Draft. PROPOSED, never adopted. Note the cached URL filename says Exposure-Mar2026 while the document title as printed is 'Exposure Draft May 2026'; ed2_source_manifest.json is the authority."
2016,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"First year of the eligible sales universe."
2023,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"Development/held-out boundary year."
2024,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"Last year of the production_2016_2024 refit sample."
2025,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"The secondary forward-evaluation block."
2017,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Rolling-origin fold window boundary."
2018,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Rolling-origin fold window boundary."
2019,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Rolling-origin fold window boundary."
2021,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Rolling-origin fold window boundary."
2022,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Rolling-origin fold window boundary."
2016-01-01,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Split boundary date. The COUNTS either side are frozen in PREFLIGHT.json; the boundary DATES are not recorded in the frozen evidence."
2017-04-01,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Fold-1 window end. Not recorded in frozen evidence."
2018-07-01,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Fold-2 window end. Not recorded in frozen evidence."
2019-10-01,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Fold-3 window end. Not recorded in frozen evidence."
2021-01-01,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Fold-4 window end. Not recorded in frozen evidence."
2022-04-01,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Fold-5 window end. Not recorded in frozen evidence."
2023-07-01,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/tables/cv_fold_validation_overlap_summary.json,"Fold-6 origin; quoted in the overlap-summary cause string."
2023-11-09,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/tables/cv_fold_validation_overlap_summary.json,"Development/held-out boundary and fold-7 origin; quoted in the overlap-summary cause string."
